id,name,address,rooms,area,latitude,longitude,project_type_id,progress,project_doc,project_cover_img,project_imgs,details,min_price,slug,created_at,updated_at,installment_length
1,Anika Heights,"PLOT : 58-59 LIBERTY COMMERCIAL, OPPOSITE THEME PARK, BAHRIA TOWN ,KARACHI",1 & 2 Bedroom,17,45,65,1,ready for possession,1621509671.pdf,"cover_1621509671.png
","1621509671_Villa-The_Valley_-_Eden-46707-1609678390159.jpeg|1621509671_mobileimg1-1.png
",GREAT INVESTMENT OPPORTUNITY,4500000.00,,,,0
2,FIRDOUS PRIDE,"Main Jinnah Avenue Commercial,  Bahria Town Karachi",4 & 5 Rooms,1,85,65,1,completed,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",15100000.00,,,,36
3,Gwadar Green Palms,in Gwadar Green Palms,25 - 250 Sq. Yards Residential & 100 Sq. Yards Commercial Plots,1,25.50409006,64.14036949,4,,,,,125 – 250 Sq. Yards Residential & 100 Sq. Yards Commercial Plots Available in Gwadar Green Palms On 36 Easy Monthly Installments,1375000.00,,,,36
4,Al Khaleej Towers,"At The Ideal Location Of Jinnah Avenue Commercial, Bahria Town",2 & 3 Bed ,17,24.90565789,67.182267,1,underconstruction,,,,"2 & 3 bed lavish apartments located at the Ideal Location of Main Jinnah Avenue Commercial, Bahria Town",7837000.00,,,,36
5,Sunrise Apartments,Prime Location of Main Abul Hassan Isphani Road.,3 & 4 Rooms,1,24.95252874,67.093194,1,underconstruction,,,,COMING SOON! 3 & 4 Rooms Luxurious Apartments on Easy Payment Plans located at the Prime Location of Main Abul Hassan Isphani Road.,4560000.00,,,,36
6,The Motor City,"n Scheme 45, Near Northern Bypass.",125-250 Sq. Yards Plots,8,25.05205383,67.14359287,4,,,,,"25-250 Sq. Yards Plots available on Easy Payment Plans in Scheme 45, Near Northern Bypass.",3599000.00,,,,48
7,Rabia Enclave,"Near Gwalior Housing Society, Scheme 33",3 & 4 Rooms,3,24.97060527,67.11689842,1,underconstruction,,,,"3 & 4 Rooms Spacious Apartments Available on 2 Years Easy Payment Plans Near Gwalior Housing Society, Scheme 33",6400000.00,,,,24
8,Theme Residency 2,"Opposite Theme Park, Bahria Town Karachi.",2 & 3 Bed,17,25.02267507,67.31248132,1,,,,,"2 & 3 bed executive apartments available on Easy Payment Plans Opposite Theme Park, Bahria Town Karachi.",10320000.00,,,,36
9,Signature 33,"Located in Pak Scientists Society, Scheme 33.",5 Rooms ,3,24.96233732,67.11967632,1,,,,,"Coming Soon! 5 Rooms Apartments on Easy Monthly Installments. Located in Pak Scientists Society, Scheme 33.",17800000.00,,,,36
10,Nadeem Jinnah Icon,At main JINNAH AVENUE,"4, 5 & 6 Rooms",12,24.93074537,67.17904668,1,,,,,"COMING SOON! 4, 5 & 6 rooms executive apartments on easy payment plans. At main JINNAH AVENUE (Book Your Units Now Before Prices Increase)",14200000.00,,,,42
11,Dominion The Grand,"in bahria town, karachi launching soon opposite imtiaz super market",,17,25.01973257,67.31460128,3,,,,,"Dominion the grand, the biggest commercial & residential project in bahria town, karachi launching soon opposite imtiaz super market",,,,,
12,Clock Tower 2,"Located At Liberty Commercial, Bahria Town",1 & 2 Bedrooms,17,25.02850569,67.30486342,1,,,,,"1 & 2 bedrooms executive apartments available for booking located at liberty commercial, bahria town",4545000.00,,,,36
13,GMSQ Tower,"In Liberty Commercial, Theme Park Main Jinnah Avenue, Bahria Town",900 SQ. FT,17,25.02850569,67.30486342,6,,,,,"Modern office spaces available on easy monthly installments in liberty commercial, theme park main Jinnah Avenue, Bahria town",9450000.00,,,,24
14,Dominion Business Center,at main Jinnah Avenue Bahria Town Karachi.,400 SQ. FT,17,25.05876966,67.30493925,6,,,,,"Modern office spaces available on easy monthly installments at main jinnah avenue, bahria town, karachi. accepting merging files on 0% price deductions. book your unit now!",2800000.00,,,,
15,Dominion Twin Towers,"Located in Theme Park Commercial, Bahria Town Karachi.","680 Sq. Ft, 920 Sq. Ft, 940 Sq. Ft, 986 Sq. Ft, 1388 Sq. Ft, 1706 Sq. Ft",17,25.01642889,67.31429017,1 & 6,,,,,"Super Spacious Apartments, Duplexes & Commercial Shops available on easy payment plans in Dominion Twin Towers, A Project with state of the art amenities, at the most premium location of Bahria Town, Karachi.",5100000.00,,,,
