id,name,address,rooms,area,latitude,longitude,project_type_id,progress,project_doc,project_cover_img,project_imgs,details,min_price,slug,installment_length
1,Anika Heights,"PLOT : 58-59 LIBERTY COMMERCIAL, OPPOSITE THEME PARK, BAHRIA TOWN ,KARACHI",1 & 2 Bedroom,17,45,65,1,ready for possession,1621509671.pdf,"cover_1621509671.png
","1621509671_Villa-The_Valley_-_Eden-46707-1609678390159.jpeg|1621509671_mobileimg1-1.png
",GREAT INVESTMENT OPPORTUNITY,4500000.00,anika-heights,0
2,FIRDOUS PRIDE,"Main Jinnah Avenue Commercial,  Bahria Town Karachi",4 & 5 Rooms,1,85,65,1,completed,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",15100000.00,firdous-pride,36
3,Gwadar Green Palms,in Gwadar Green Palms,25 - 250 Sq. Yards Residential & 100 Sq. Yards Commercial Plots,1,25.50409006,64.14036949,4,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",1375000.00,gwadar-green-palms,36
4,Al Khaleej Towers,"At The Ideal Location Of Jinnah Avenue Commercial, Bahria Town",2 & 3 Bed ,17,24.90565789,67.182267,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",7837000.00,al-khaleej-tower,36
5,Sunrise Apartments,Prime Location of Main Abul Hassan Isphani Road.,3 & 4 Rooms,1,24.95252874,67.093194,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",4560000.00,sunrise-apartments,36
6,The Motor City,"n Scheme 45, Near Northern Bypass.",125-250 Sq. Yards Plots,8,25.05205383,67.14359287,4,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",3599000.00,motor-city,48
7,Rabia Enclave,"Near Gwalior Housing Society, Scheme 33",3 & 4 Rooms,3,24.97060527,67.11689842,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",6400000.00,rabia-enclave,24
8,Theme Residency 2,"Opposite Theme Park, Bahria Town Karachi.",2 & 3 Bed,17,25.02267507,67.31248132,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",10320000.00,theme-residency-2,36
9,Signature 33,"Located in Pak Scientists Society, Scheme 33.",5 Rooms ,3,24.96233732,67.11967632,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",17800000.00,signature33,36
10,Nadeem Jinnah Icon,At main JINNAH AVENUE,"4, 5 & 6 Rooms",12,24.93074537,67.17904668,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",14200000.00,nadeem-jinnah-icon,42
11,Dominion The Grand,"in bahria town, karachi launching soon opposite imtiaz super market",,17,25.01973257,67.31460128,3,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0.00,dominion-the-grand,0
12,Clock Tower 2,"Located At Liberty Commercial, Bahria Town",1 & 2 Bedrooms,17,25.02850569,67.30486342,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",4545000.00,clock-tower,36
13,GMSQ Tower,"In Liberty Commercial, Theme Park Main Jinnah Avenue, Bahria Town",900 SQ. FT,17,25.02850569,67.30486342,6,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",9450000.00,gmsq-tower,24
14,Dominion Business Center,at main Jinnah Avenue Bahria Town Karachi.,400 SQ. FT,17,25.05876966,67.30493925,6,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",2800000.00,dominion-business-center,0
15,Dominion Twin Towers,"Located in Theme Park Commercial, Bahria Town Karachi.","680 Sq. Ft, 920 Sq. Ft, 940 Sq. Ft, 986 Sq. Ft, 1388 Sq. Ft, 1706 Sq. Ft",17,25.01642889,67.31429017,1,underconstruction,,,,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",5100000.00,dominion-twin-towers,0
