name,address,rooms,area,latitude,longitude,project_type_id,progress,project_doc,project_cover_img,project_imgs,details,min_price,slug,installment_length
Anika Heights,"PLOT : 58-59 LIBERTY COMMERCIAL, OPPOSITE THEME PARK, BAHRIA TOWN ,KARACHI",1 & 2 Bedroom,17,45,65,1,ready for possession,1621509671.pdf,"cover_1621509671.png
","1621509671_Villa-The_Valley_-_Eden-46707-1609678390159.jpeg|1621509671_mobileimg1-1.png
",GREAT INVESTMENT OPPORTUNITY,0,anika-heights,0
FIRDOUS PRIDE,"Main Jinnah Avenue Commercial,  Bahria Town Karachi",4 & 5 Rooms,1,85,65,1,completed,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,firdous-pride,36
Gwadar Green Palms,in Gwadar Green Palms,25 - 250 Sq. Yards Residential & 100 Sq. Yards Commercial Plots,1,25.50409006,64.14036949,4,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,gwadar-green-palms,36
Al Khaleej Towers,"At The Ideal Location Of Jinnah Avenue Commercial, Bahria Town",2 & 3 Bed˜,17,24.90565789,67.182267,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,al-khaleej-tower,36
Sunrise Apartments,Prime Location of Main Abul Hassan Isphani Road.,3 & 4 Rooms,1,24.95252874,67.093194,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,sunrise-apartments,36
The Motor City,"n Scheme 45, Near Northern Bypass.",125-250 Sq. Yards Plots,8,25.05205383,67.14359287,4,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,motor-city,48
Rabia Enclave,"Near Gwalior Housing Society, Scheme 33",3 & 4 Rooms,3,24.97060527,67.11689842,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,rabia-enclave,24
Theme Residency 2,"Opposite Theme Park, Bahria Town Karachi.",2 & 3 Bed,17,25.02267507,67.31248132,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,theme-residency-2,36
Signature 33,"Located in Pak Scientists Society, Scheme 33.",5 Rooms˜,3,24.96233732,67.11967632,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,signature33,36
Nadeem Jinnah Icon,At main JINNAH AVENUE,"4, 5 & 6 Rooms",12,24.93074537,67.17904668,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,nadeem-jinnah-icon,42
Dominion The Grand,"in bahria town, karachi launching soon opposite imtiaz super market",,17,25.01973257,67.31460128,3,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,dominion-the-grand,0
Clock Tower 2,"Located At Liberty Commercial, Bahria Town",1 & 2 Bedrooms,17,25.02850569,67.30486342,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,clock-tower,36
GMSQ Tower,"In Liberty Commercial, Theme Park Main Jinnah Avenue, Bahria Town",900 SQ. FT,17,25.02850569,67.30486342,6,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,gmsq-tower,24
Dominion Business Center,at main Jinnah Avenue Bahria Town Karachi.,400 SQ. FT,17,25.05876966,67.30493925,6,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,dominion-business-center,0
Dominion Twin Towers,"Located in Theme Park Commercial, Bahria Town Karachi.","680 Sq. Ft, 920 Sq. Ft, 940 Sq. Ft, 986 Sq. Ft, 1388 Sq. Ft, 1706 Sq. Ft",17,25.01642889,67.31429017,1,underconstruction,1622198478.pdf,cover_1622198478.png,1622198478_pride-min-1-1 (1).png,"Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.",0,dominion-twin-towers,0
