id,project_id,title,rooms,covered_area,price,monthly_installment,down_payment,payment_plan_img,floor_plan_img,description,created_at,updated_at
1,1,TYPE-A,2 BEDROOM,1090,10464000,275000,2100000,NULL,NULL,NULL,,
2,1,TYPE-B,2 BEDROOM,1020,9800000,260000,1960000,NULL,NULL,NULL,,
3,1,TYPE-C,1 BEDROOM,600,5760000,150000,1152000,NULL,NULL,NULL,,
4,2,TYPE-A,5 ROOMS,0,15100000,57500,725000,NULL,NULL,NULL,,
5,2,TYPE-A1,5 ROOMS,0,14400000,55000,700000,NULL,NULL,NULL,,
6,2,TYPE-B,4 ROOMS,0,10550000,40000,525000,NULL,NULL,NULL,,
7,2,TYPE-B1,4 ROOMS,0,9850000,35000,475000,NULL,NULL,NULL,,
8,3,RESIDENTIAL,125  SQ.YARDS,125,1375000,30000,275000,NULL,NULL,NULL,,
9,3,RESIDENTIAL,250 SQ.YARDS,250,2275000,50000,475000,NULL,NULL,NULL,,
10,3,COMMERCIAL,100 SQ.YARDS,100,3900000,86000,775000,NULL,NULL,NULL,,
